product_description,category,price,customer_age,is_member,treatment,outcome
"Pre-sliced white sandwich bread, standard enriched loaf",food,2.34,66,1,1,25.13
"Milk chocolate candy bar, standard size individually wrapped",food,2.4,32,1,1,11.58
"High-end noise cancelling headphones, studio quality 40hr battery",electronics,328.61,64,0,1,342.96
"Handcrafted solid walnut end-grain cutting board, food safe oil",home,80.24,58,0,1,93.19
"Bespoke leather journal, hand stitched with archival cotton paper",accessories,52.14,24,1,0,53.99
"Pre-sliced white sandwich bread, standard enriched loaf",food,2.4,26,0,1,10.98
"Premium ultrasonic essential oil diffuser, sustainable bamboo housing",home,60.45,50,0,0,68.7
"Organic cold pressed green juice, turmeric ginger daily blend",food,12.98,38,1,1,30.24
"Disposable white paper cups, standard 8oz pack of 50",home,3.37,54,1,1,13.22
"Luxury Egyptian cotton bath towel set, 800gsm hotel quality",home,71.16,60,1,0,66.46
"Hand blown borosilicate glass vase, contemporary geometric design",home,79.09,57,0,0,80.6
"Handwoven sustainable rattan storage basket, fair trade certified",home,44.67,70,1,0,58.33
"Basic white cotton washcloth, standard size single pack",home,1.82,34,0,1,9.64
"Clear plastic food storage container set, snap lid microwave safe",home,9.18,69,0,0,11.13
"Biodegradable bamboo toothbrush set, charcoal infused soft bristles",accessories,13.76,45,1,1,30.85
"Mulberry silk padded sleep mask, adjustable elastic headband",accessories,44.53,70,0,1,73.31
"Basic heat resistant silicone spatula, single piece design",home,3.24,51,0,1,10.21
"Disposable white paper cups, standard 8oz pack of 50",home,4.81,29,1,1,14.28
"Handcrafted solid walnut end-grain cutting board, food safe oil",home,77.34,33,0,0,91.57
"Store brand orange juice from concentrate, standard carton",food,3.2,44,0,0,7.74
"Generic alkaline AA batteries, standard pack of eight",electronics,6.39,70,1,1,36.26
"Basic heat resistant silicone spatula, single piece design",home,4.88,31,0,1,14.26
"Luxury hand-poured soy candle, wild fig and cassis scent",home,50.02,54,0,1,64.8
"Biodegradable bamboo toothbrush set, charcoal infused soft bristles",accessories,14.48,53,1,1,20.33
"Basic cotton crew neck t-shirt, everyday casual wear unisex",clothing,10.24,39,1,0,15.66
"Bespoke leather journal, hand stitched with archival cotton paper",accessories,53.21,69,0,1,66.76
"Generic alkaline AA batteries, standard pack of eight",electronics,5.5,43,0,0,15.06
"Generic drawstring tall kitchen trash bags, 30 count roll",home,4.28,67,1,1,17.63
"Organic single origin Ethiopian coffee beans, light roast notes of blueberry",food,24.05,23,1,0,25.79
"Multi-color kitchen sponge pack, dual-sided pack of six",home,2.5,47,1,0,14.24
"Pre-sliced white sandwich bread, standard enriched loaf",food,2.53,62,1,1,16.17
"Clear stackable plastic storage bin, medium size with lid",home,7.22,64,0,1,18.75
"Handwoven sustainable rattan storage basket, fair trade certified",home,37.04,70,1,0,45.94
"Plain polyester ankle socks, value multipack of six pairs",clothing,7.6,45,0,1,29.12
"Basic foam sole flip flops, solid color unisex design",clothing,4.94,52,1,0,17.24
"Generic snap-on phone case, standard universal fit clear",electronics,5.48,54,0,0,10.71
"Budget wired earbuds, basic stereo sound with inline mic",electronics,7.6,24,0,1,24.63
"Pre-sliced white sandwich bread, standard enriched loaf",food,1.81,65,0,1,14.66
"Basic cotton crew neck t-shirt, everyday casual wear unisex",clothing,11.36,48,1,1,22.51
"Artisan bronze-die extruded pasta variety, imported Italian semolina",food,16.06,28,1,1,27.24
"Unscented white tea light candles, paraffin bulk pack of 20",home,2.86,37,1,0,5.42
"Disposable white paper cups, standard 8oz pack of 50",home,4.87,20,1,1,24.57
"Natural Belgian linen tablecloth, hand-hemmed edges",home,132.12,21,1,0,140.43
"Generic alkaline AA batteries, standard pack of eight",electronics,5.43,58,1,1,25.11
"Clear plastic food storage container set, snap lid microwave safe",home,6.87,31,1,1,28.49
"Milk chocolate candy bar, standard size individually wrapped",food,1.67,64,0,1,17.7
"Basic white cotton washcloth, standard size single pack",home,2.57,19,0,1,4.83
"Organic single origin Ethiopian coffee beans, light roast notes of blueberry",food,26.97,42,0,0,35.76
"Basic college ruled spiral notebook, 70 sheets perforated pages",accessories,1.97,29,0,1,17.86
"Biodegradable bamboo toothbrush set, charcoal infused soft bristles",accessories,12.97,19,1,1,26.68
"Soft two-ply facial tissues, standard box of 160 sheets",home,2.99,60,1,1,26.55
"Store brand orange juice from concentrate, standard carton",food,3.18,67,0,0,15.52
"Generic instant coffee, standard freeze-dried blend 200g jar",food,5.23,35,1,1,23.47
"Designer sunglasses, polarized titanium frame UV protection",accessories,256.76,36,0,0,256.48
"Generic alkaline AA batteries, standard pack of eight",electronics,4.09,40,1,1,9.95
"Fine Italian merino wool crew neck sweater, sustainable dye",clothing,204.91,41,1,0,204.2
"Store brand orange juice from concentrate, standard carton",food,2.61,34,1,1,15.94
"Clear plastic food storage container set, snap lid microwave safe",home,6.76,29,1,1,19.33
"Basic college ruled spiral notebook, 70 sheets perforated pages",accessories,2.13,58,0,1,22.6
"Artisan sourdough loaf, stone baked with ancient grain flour",food,9.2,30,1,0,12.35
"High-end noise cancelling headphones, studio quality 40hr battery",electronics,318.58,67,0,0,321.56
"Standard plastic measuring cup set, four piece nested",home,5.02,68,1,1,25.39
"Basic cotton crew neck t-shirt, everyday casual wear unisex",clothing,11.58,60,1,1,31.19
"High-end noise cancelling headphones, studio quality 40hr battery",electronics,300.79,44,1,0,297.26
"Clear plastic food storage container set, snap lid microwave safe",home,7.33,36,0,1,15.36
"Standard plastic clothes hangers, adult size pack of 10",home,4.48,21,1,0,4.09
"Store brand orange juice from concentrate, standard carton",food,3.06,21,0,0,5.4
"Clear stackable plastic storage bin, medium size with lid",home,7.05,70,1,1,30.91
"Premium Qi wireless charger, vegan leather surface fast charge",electronics,47.68,41,1,0,64.53
"Bespoke leather journal, hand stitched with archival cotton paper",accessories,70.24,30,1,1,94.42
"Disposable white paper cups, standard 8oz pack of 50",home,3.52,63,0,1,22.33
"High-end noise cancelling headphones, studio quality 40hr battery",electronics,352.01,21,0,0,347.83
"Plain polyester ankle socks, value multipack of six pairs",clothing,7.25,46,1,1,29.6
"Unscented white tea light candles, paraffin bulk pack of 20",home,3.73,26,0,1,11.48
"Mulberry silk padded sleep mask, adjustable elastic headband",accessories,40.71,51,0,1,57.04
"Handmade pure beeswax candles, lavender and eucalyptus infused",home,31.74,31,0,0,32.36
"Clear plastic shower curtain liner, standard size with rings",home,5.8,24,0,1,17.56
"Estate bottled extra virgin olive oil, cold extracted Tuscan blend",food,30.94,54,0,0,32.04
"Artisan sourdough loaf, stone baked with ancient grain flour",food,9.3,21,1,1,29.04
"Plain polyester ankle socks, value multipack of six pairs",clothing,6.31,54,1,1,25.81
"Luxury hand-poured soy candle, wild fig and cassis scent",home,46.26,61,1,1,57.67
"White unprinted paper napkins, two ply bulk pack of 200",home,3.81,54,0,1,16.26
"Handmade ceramic mug, unique wood-fired glaze by local potter",home,48.59,59,0,0,49.8
"Premium vacuum insulated stainless steel bottle, keeps cold 24hr",accessories,42.19,36,0,1,43.08
"Premium leather wallet, handcrafted Italian design with gold stitching",accessories,68.05,46,1,1,83.96
"Handmade ceramic mug, unique wood-fired glaze by local potter",home,33.41,19,1,0,47.25
"Unscented white tea light candles, paraffin bulk pack of 20",home,2.64,34,1,1,24.42
"Generic fluoride mint toothpaste, standard 150ml tube",accessories,2.41,31,0,1,11.75
"Natural Belgian linen tablecloth, hand-hemmed edges",home,127.34,48,0,0,145.41
"Handmade pure beeswax candles, lavender and eucalyptus infused",home,30.34,66,1,0,36.29
"Premium natural rubber yoga mat, non-slip cork surface",fitness,63.49,60,0,1,83.33
"Clear stackable plastic storage bin, medium size with lid",home,7.42,28,0,1,20.07
"Artisan bronze-die extruded pasta variety, imported Italian semolina",food,21.32,60,1,0,29.71
"Basic heat resistant silicone spatula, single piece design",home,4.66,70,0,0,8.43
"Pre-sliced white sandwich bread, standard enriched loaf",food,2.34,38,1,1,18.48
"Soft two-ply facial tissues, standard box of 160 sheets",home,3.89,49,0,1,18.62
"Artisan sourdough loaf, stone baked with ancient grain flour",food,8.63,45,0,1,20.25
"Premium ultrasonic essential oil diffuser, sustainable bamboo housing",home,43.53,18,0,0,46.15
"Basic college ruled spiral notebook, 70 sheets perforated pages",accessories,1.74,29,1,1,22.7
"Artisan dark chocolate box, single origin Ecuadorian cacao 72%",food,44.75,65,0,0,54.02
"Estate bottled extra virgin olive oil, cold extracted Tuscan blend",food,29.63,19,1,0,49.2
"Soft two-ply facial tissues, standard box of 160 sheets",home,3.36,49,0,1,21.66
"Basic cotton crew neck t-shirt, everyday casual wear unisex",clothing,13.97,25,1,1,19.86
"Soft two-ply facial tissues, standard box of 160 sheets",home,2.76,30,1,0,4.7
"Multi-color kitchen sponge pack, dual-sided pack of six",home,3.8,18,0,0,5.26
"Luxury silk scarf, limited edition botanical pattern by artisan designer",accessories,117.54,28,0,0,110.72
"Artisan bronze-die extruded pasta variety, imported Italian semolina",food,14.84,19,1,1,28.33
"Basic cotton crew neck t-shirt, everyday casual wear unisex",clothing,14.79,52,0,1,33.12
